index,time,wind_hub_ms,power_mw,is_extreme,is_ramp,is_cutout
0,2019-01-01 00:00:00,2.494,0.254383,0,0,0
1,2019-01-01 00:15:00,1.882,0.329703,0,0,0
2,2019-01-01 00:30:00,2.35,0.296306,0,0,0
3,2019-01-01 00:45:00,2.808,0.18759,0,0,0
4,2019-01-01 01:00:00,2.924,0.081005,0,0,0
5,2019-01-01 01:15:00,2.137,0.189721,0,0,0
6,2019-01-01 01:30:00,2.506,0.265041,0,0,0
7,2019-01-01 01:45:00,2.868,0.241593,0,0,0
8,2019-01-01 02:00:00,2.657,0.184037,0,0,0
9,2019-01-01 02:15:00,2.841,0.119375,0,0,0
10,2019-01-01 02:30:00,1.968,0.30128,0,0,0
11,2019-01-01 02:45:00,2.203,0.508055,0,0,0
12,2019-01-01 03:00:00,2.332,1.082193,0,0,0
13,2019-01-01 03:15:00,1.957,0.537188,0,0,0
14,2019-01-01 03:30:00,1.868,0.156325,0,0,0
15,2019-01-01 03:45:00,2.227,0.724778,0,0,0
16,2019-01-01 04:00:00,1.555,0.226671,0,0,0
17,2019-01-01 04:15:00,1.822,0.218855,0,0,0
18,2019-01-01 04:30:00,1.692,0.366652,0,0,0
19,2019-01-01 04:45:00,2.013,0.333966,0,0,0
20,2019-01-01 05:00:00,2.049,0.328282,0,0,0
21,2019-01-01 05:15:00,2.163,0.301991,0,0,0
22,2019-01-01 05:30:00,3.054,0.297017,0,0,0
23,2019-01-01 05:45:00,2.144,0.267173,0,0,0
24,2019-01-01 06:00:00,2.567,0.153482,0,0,0
25,2019-01-01 06:15:00,2.348,0.266463,0,0,0
26,2019-01-01 06:30:00,2.579,0.04974,0,0,0
27,2019-01-01 06:45:00,3.361,0.674328,0,0,0
28,2019-01-01 07:00:00,2.432,1.227149,0,0,0
29,2019-01-01 07:15:00,1.908,0.508766,0,0,0
30,2019-01-01 07:30:00,3.076,0.95358,0,0,0
31,2019-01-01 07:45:00,2.725,0.542162,0,0,0
32,2019-01-01 08:00:00,1.925,0.241593,0,0,0
33,2019-01-01 08:15:00,1.477,0.352441,0,0,0
34,2019-01-01 08:30:00,1.795,0.362389,0,0,0
35,2019-01-01 08:45:00,2.667,0.287069,0,0,0
36,2019-01-01 09:00:00,2.809,0.284227,0,0,0
37,2019-01-01 09:15:00,2.39,0.181905,0,0,0
38,2019-01-01 09:30:00,2.441,0.131455,0,0,0
39,2019-01-01 09:45:00,2.835,0.121507,0,0,0
40,2019-01-01 10:00:00,2.408,0.265752,0,0,0
41,2019-01-01 10:15:00,3.252,0.795835,0,0,0
42,2019-01-01 10:30:00,2.58,0.588349,0,0,0
43,2019-01-01 10:45:00,2.063,0.553532,0,0,0
44,2019-01-01 11:00:00,1.589,0.2757,0,0,0
45,2019-01-01 11:15:00,1.102,0.245146,0,0,0
46,2019-01-01 11:30:00,1.448,0.35102,0,0,0
47,2019-01-01 11:45:00,2.461,0.339651,0,0,0
48,2019-01-01 12:00:00,2.75,0.299149,0,0,0
49,2019-01-01 12:15:00,3.205,0.46329,0,0,0
50,2019-01-01 12:30:00,3.719,2.070591,0,0,0
51,2019-01-01 12:45:00,3.59,1.792049,0,0,0
52,2019-01-01 13:00:00,3.388,1.273335,0,0,0
53,2019-01-01 13:15:00,2.563,0.439841,0,0,0
54,2019-01-01 13:30:00,3.571,1.033874,0,0,0
55,2019-01-01 13:45:00,2.365,0.972055,0,0,0
56,2019-01-01 14:00:00,2.805,0.340361,0,0,0
57,2019-01-01 14:15:00,2.905,0.548558,0,0,0
58,2019-01-01 14:30:00,2.957,0.169115,0,0,0
59,2019-01-01 14:45:00,2.013,0.154904,0,0,0
60,2019-01-01 15:00:00,3.104,0.059688,0,0,0
61,2019-01-01 15:15:00,3.086,0.182616,0,0,0
62,2019-01-01 15:30:00,3.306,0.638089,0,0,0
63,2019-01-01 15:45:00,3.412,0.960686,0,0,0
64,2019-01-01 16:00:00,3.058,0.818573,0,0,0
65,2019-01-01 16:15:00,3.168,0.16272,0,0,0
66,2019-01-01 16:30:00,2.593,0.07461,0,0,0
67,2019-01-01 16:45:00,2.479,0.285648,0,0,0
68,2019-01-01 17:00:00,1.586,0.36381,0,0,0
69,2019-01-01 17:15:00,0.0,0.341072,0,0,0
70,2019-01-01 17:30:00,0.0,0.341072,0,0,0
71,2019-01-01 17:45:00,0.04,0.341072,0,0,0
72,2019-01-01 18:00:00,0.0,0.341072,0,0,0
73,2019-01-01 18:15:00,0.0,0.341072,0,0,0
74,2019-01-01 18:30:00,0.0,0.341072,0,0,0
75,2019-01-01 18:45:00,0.0,0.341072,0,0,0
76,2019-01-01 19:00:00,0.39,0.341072,0,0,0
77,2019-01-01 19:15:00,0.0,0.341072,0,0,0
78,2019-01-01 19:30:00,1.293,0.336809,0,0,0
79,2019-01-01 19:45:00,0.322,0.328282,0,0,0
80,2019-01-01 20:00:00,1.102,0.335387,0,0,0
81,2019-01-01 20:15:00,1.234,0.339651,0,0,0
82,2019-01-01 20:30:00,1.537,0.341072,0,0,0
83,2019-01-01 20:45:00,1.592,0.33823,0,0,0
84,2019-01-01 21:00:00,1.302,0.341072,0,0,0
85,2019-01-01 21:15:00,0.188,0.341072,0,0,0
86,2019-01-01 21:30:00,0.0,0.339651,0,0,0
87,2019-01-01 21:45:00,0.0,0.328282,0,0,0
88,2019-01-01 22:00:00,0.0,0.335387,0,0,0
89,2019-01-01 22:15:00,0.723,0.342493,0,0,0
90,2019-01-01 22:30:00,1.4,0.343914,0,0,0
91,2019-01-01 22:45:00,1.807,0.335387,0,0,0
92,2019-01-01 23:00:00,1.453,0.341072,0,0,0
93,2019-01-01 23:15:00,1.51,0.342493,0,0,0
94,2019-01-01 23:30:00,1.374,0.342493,0,0,0
95,2019-01-01 23:45:00,1.334,0.342493,0,0,0
96,2019-01-02 00:00:00,1.382,0.341072,0,0,0
97,2019-01-02 00:15:00,0.813,0.342493,0,0,0
98,2019-01-02 00:30:00,1.235,0.341072,0,0,0
99,2019-01-02 00:45:00,1.084,0.341072,0,0,0
100,2019-01-02 01:00:00,0.104,0.341072,0,0,0
101,2019-01-02 01:15:00,0.0,0.342493,0,0,0
102,2019-01-02 01:30:00,0.85,0.341072,1,0,0
103,2019-01-02 01:45:00,1.133,0.341072,1,0,0
104,2019-01-02 02:00:00,0.0,0.341072,1,0,0
105,2019-01-02 02:15:00,0.0,0.341072,1,0,0
